Title,Link,Videos Count,Subscribers,Groups
"55x55","https://www.youtube.com/channel/UCBnKMiYzbE9opd0Mtg9B7Dg","68","2820000",""
"Allonsyyy","https://www.youtube.com/channel/UC5s2WieFz-g73WAVpx0Yedw","1165","56700",""
"Amediateka","https://www.youtube.com/channel/UCGN_rY2M4fqmK2GWo3320oA","2004","164000",""
"Anton Nazarov","https://www.youtube.com/channel/UChgyWucAyMDU_Xt9BLBlzrQ","201","20500",""
"AsmodeusClips","https://www.youtube.com/channel/UCCbujNgonCzQYNhO70XVlmw","590","44200",""
"Azazin Kreet","https://www.youtube.com/channel/UChQtxlW250ea-BImn9cjSJQ","348","1610000",""
"Azazin Kreet Live","https://www.youtube.com/channel/UCg3Yf1umn6jEBrXGnschkLA","190","56400",""
"BadComedian","https://www.youtube.com/channel/UC6cqazSR6CnVMClY0bJI0Lg","198","5860000",""
"Balgabayev Doc","https://www.youtube.com/channel/UC16Wy7VyXCad-3nglceJwsg","9","10300",""
"BearBeck","https://www.youtube.com/channel/UCU05h4UHyhvGWhKYr7459nw","27","2910",""
"Brooklyn Duo","https://www.youtube.com/channel/UCk_9hHaw0n1Vbbld6cXyh6A","139","1360000",""
"CaptainLance9","https://www.youtube.com/channel/UCJQQq3kLfH-bSE-WSo59XbQ","370","39500",""
"CARDIFF GAMING","https://www.youtube.com/channel/UCrH8Jq8VTKp0JPVd9CQzJvg","1401","26200",""
"CG Speak","https://www.youtube.com/channel/UCDUJu_bQH68A4FXij5P_8MQ","704","537000",""
"Colm McGuinness Music","https://www.youtube.com/channel/UCSp2nvM27htoOTD1Cq05N5g","173","524000",""
"COLORS","https://www.youtube.com/channel/UC2Qw1dzXDBAZPwS7zm37g8g","780","6720000",""
"Daniil Gerasimov","https://www.youtube.com/channel/UCrLQp0ZbiCzCbVfZDXT0Uzw","1943","701000",""
"DenningPOE","https://www.youtube.com/channel/UCrdUas2iGZIGG8OdVlPH9Yg","39","926",""
"Droider","https://www.youtube.com/channel/UCY03gpyR__MuJtBpoSyIGnw","2167","1620000",""
"el Gato","https://www.youtube.com/channel/UCMi0GeuPcmJzL8eaok_NEig","97","224000",""
"embrace me","https://www.youtube.com/channel/UCPd6OzeQMnHqMpjx7ZH0UYA","112","23200",""
"Eroizek","https://www.youtube.com/channel/UCNLkrnVmtn35AvoYvRLE4-g","83","2500",""
"FailArmy","https://www.youtube.com/channel/UCPDis9pjXuqyI7RYLJ-TTSA","410","16399999",""
"Fast AF","https://www.youtube.com/channel/UCFRY0sr8tXuefXmvRBzw_Fw","549","94900",""
"FlynnFlyTaggart","https://www.youtube.com/channel/UCvKPc71Dd8qnuKZd2nRyH4g","100","593000",""
"Game Music Collective","https://www.youtube.com/channel/UCuDY3TdyceBcSCB3c3pp8nA","51","171000",""
"Gameplay Highlights","https://www.youtube.com/channel/UCYJ49i4Zp1dFeVOxn6WPFNw","25","3470",""
"Gamology Rus","https://www.youtube.com/channel/UC7Y81DLlOhLdNNGZ9PHbLFg","257","424000",""
"Genshin Impact","https://www.youtube.com/channel/UCiS882YPwZt1NfaM0gR0D9Q","445","6620000",""
"GHOSTEMANE","https://www.youtube.com/channel/UCsyBVa0eTR-lL0sRnKpIe8w","63","3800000",""
"GL1n","https://www.youtube.com/channel/UCctIhiXn58OJf0lSysuPTdQ","115","319000",""
"GQ Russia","https://www.youtube.com/channel/UCp7_K5hgSzo7nGJc5v6sHFA","1039","879000",""
"Heart of the Keys","https://www.youtube.com/channel/UCr0BMA5yu3AS0alkR7kYwEQ","274","227000",""
"HUDAKOV","https://www.youtube.com/channel/UCBfZ377Tp-L-YYpAKtpSHcg","36","248000",""
"ibi","https://www.youtube.com/channel/UCDFD8RdIL2FxNfkKkus5RSQ","132","342000",""
"IC3PEAK","https://www.youtube.com/channel/UC2f2qtst4dOzmT8gl5IrgwA","21","2690000",""
"Image Game","https://www.youtube.com/channel/UC76WhGZ5Lebvz1YPlV0iRPw","422","128000",""
"itpedia","https://www.youtube.com/channel/UC6bTF68IAV1okfRfwXIP1Cg","362","2540000",""
"IY Beats","https://www.youtube.com/channel/UCmoDeNHYxYkePmtYzXCdHMQ","371","250000",""
"JAZZ & BLUES","https://www.youtube.com/channel/UCGr-rTYtP1m-r_-ncspdVQQ","432","491000",""
"Jero Nero","https://www.youtube.com/channel/UCAwA53y-ewf6nr7lYkTYe7w","0","11",""
"JURTTYŃ BALASY","https://www.youtube.com/channel/UClmqO1ELiMtzP2YGXhWE_lw","158","295000",""
"Karmik Koala","https://www.youtube.com/channel/UCIvkS0o7Csl6EuA7gCmdgqg","561","231000",""
"KINOKOS","https://www.youtube.com/channel/UCj2QqbeCUZ82JMk492iGUQg","583","1660000",""
"kuji podcast","https://www.youtube.com/channel/UCK8xpGAv8Oz7iMPgMw9j0LA","134","760000",""
"Kuplinov ► Play","https://www.youtube.com/channel/UCdKuE7a2QZeHPhDntXVZ91w","6557","15100000",""
"Les covers de Persiflette","https://www.youtube.com/channel/UCEE3kPe0rcGka9b4YUgkllQ","54","11100",""
"LevTVision","https://www.youtube.com/channel/UCG7xmgXLJTWsR5Yzn0-g0aw","385","361000",""
"LeXoPedia","https://www.youtube.com/channel/UC5acRDHDGTFSZf87tdGov4w","8","44500",""
"lil_dyadyaa","https://www.youtube.com/channel/UCerfEZkXMbKS5ZHGSbR4pNw","8","342",""